                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1513,                 1.4066,                 1.0806,                0.72076,                 0.2923,                0.30813,                0.21786,                0.97274,                 1.0163,                 1.0095,               0.066813,              3.322e-05,              3.322e-05
                      2,                 0.9614,                0.88321,                0.98728,                0.79986,                0.35008,                0.37612,                0.28278,                0.82057,                0.82451,                0.94024,               0.033513,             6.5894e-05,             6.5894e-05
                      3,                 0.9265,                0.79228,                0.97103,                0.76631,                0.36819,                0.43091,                0.33588,                0.80732,                0.75454,                0.93495,             0.00021129,             9.7909e-05,             9.7909e-05
                      4,                0.88989,                 0.7414,                0.95593,                0.47795,                0.43514,                0.45964,                0.35299,                0.77997,                0.70151,                0.92749,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                0.87236,                0.69747,                0.94982,                0.82642,                0.43283,                 0.4857,                0.37303,                 0.7628,                0.65924,                0.91921,              9.703e-05,              9.703e-05,              9.703e-05
                      6,                0.84987,                0.67157,                0.93987,                0.77074,                0.48205,                0.48245,                0.36951,                0.75598,                 0.6463,                0.91747,              9.604e-05,              9.604e-05,              9.604e-05
                      7,                0.83407,                0.64606,                0.93615,                0.83137,                0.48434,                0.49902,                0.38724,                0.74424,                0.61224,                 0.9078,              9.505e-05,              9.505e-05,              9.505e-05
                      8,                0.81758,                0.63117,                0.93034,                0.55783,                0.49491,                0.49774,                0.39124,                0.74003,                0.60039,                0.90726,              9.406e-05,              9.406e-05,              9.406e-05
                      9,                0.81041,                0.60532,                0.92036,                0.57601,                0.46035,                0.50326,                 0.3973,                0.74653,                0.62625,                 0.9094,              9.307e-05,              9.307e-05,              9.307e-05
                     10,                0.80164,                0.60454,                0.92032,                0.54826,                0.46859,                0.52604,                0.41978,                0.71506,                0.58036,                 0.9025,              9.208e-05,              9.208e-05,              9.208e-05
                     11,                0.79526,                0.57883,                0.91549,                0.89058,                 0.4732,                0.54717,                0.41545,                 0.7292,                0.59109,                0.90092,              9.109e-05,              9.109e-05,              9.109e-05
                     12,                0.78618,                0.57599,                0.91651,                 0.5619,                0.50502,                0.51037,                0.39061,                0.72544,                0.56044,                0.90504,               9.01e-05,               9.01e-05,               9.01e-05
                     13,                0.77517,                0.57339,                0.91687,                0.63897,                0.46685,                0.53243,                0.41464,                0.71723,                0.58954,                0.89346,              8.911e-05,              8.911e-05,              8.911e-05
                     14,                0.76807,                 0.5587,                0.90877,                0.87056,                0.49315,                0.53741,                0.41783,                0.72995,                0.56703,                0.90491,              8.812e-05,              8.812e-05,              8.812e-05
                     15,                 0.7689,                0.54548,                 0.9108,                0.73768,                0.51163,                0.54423,                0.42322,                0.70506,                0.55528,                0.89025,              8.713e-05,              8.713e-05,              8.713e-05
                     16,                0.76814,                0.54638,                0.90538,                0.86139,                0.51168,                0.53907,                0.42559,                0.74807,                0.55458,                0.90827,              8.614e-05,              8.614e-05,              8.614e-05
                     17,                0.74999,                0.53364,                0.90246,                0.56915,                0.56981,                0.57124,                0.43592,                0.73258,                0.54611,                 0.9024,              8.515e-05,              8.515e-05,              8.515e-05
                     18,                0.74844,                0.53039,                0.90177,                 0.7626,                0.52501,                0.53824,                0.42121,                0.74796,                 0.5566,                0.90499,              8.416e-05,              8.416e-05,              8.416e-05
                     19,                 0.7474,                0.53184,                0.90477,                0.76767,                0.56125,                0.54637,                0.41488,                0.71548,                0.54409,                0.89953,              8.317e-05,              8.317e-05,              8.317e-05
                     20,                0.73911,                0.51401,                0.89951,                0.87727,                0.48976,                0.57253,                0.43169,                0.71187,                0.54039,                 0.8995,              8.218e-05,              8.218e-05,              8.218e-05
                     21,                0.74125,                0.51054,                0.90102,                0.52325,                 0.5762,                0.56226,                0.42246,                0.70119,                 0.5521,                0.89768,              8.119e-05,              8.119e-05,              8.119e-05
                     22,                0.73073,                0.51148,                0.89535,                0.85495,                0.50997,                0.59397,                0.45217,                0.70509,                0.53806,                0.89527,               8.02e-05,               8.02e-05,               8.02e-05
                     23,                0.72728,                0.50877,                0.89812,                0.89762,                0.48361,                0.55169,                0.42704,                 0.7446,                0.53951,                0.89925,              7.921e-05,              7.921e-05,              7.921e-05
                     24,                0.72222,                0.49728,                0.89511,                0.89592,                0.48408,                0.56813,                0.44618,                0.71148,                 0.5387,                0.89498,              7.822e-05,              7.822e-05,              7.822e-05
                     25,                0.71863,                0.48697,                0.89109,                0.82893,                0.51335,                0.55344,                0.43256,                0.72798,                 0.5328,                0.90231,              7.723e-05,              7.723e-05,              7.723e-05
                     26,                0.70566,                0.47226,                0.88365,                0.74622,                0.53055,                0.52018,                0.40839,                0.69546,                0.52772,                0.89367,              7.624e-05,              7.624e-05,              7.624e-05
                     27,                0.71502,                0.48234,                0.88989,                0.84654,                 0.5364,                0.58191,                0.44479,                0.70499,                0.51447,                0.89469,              7.525e-05,              7.525e-05,              7.525e-05
