                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1631,                   1.75,                 1.0922,                0.73895,                 0.4528,                0.49364,                0.34656,                 0.9771,                 1.2557,                 1.0079,               0.066813,              3.322e-05,              3.322e-05
                      2,                 0.9616,                 1.1308,                0.99029,                 0.7047,                0.55618,                0.59902,                0.43448,                0.89582,                 1.0049,                  0.967,               0.033513,             6.5894e-05,             6.5894e-05
                      3,                0.92772,                0.97722,                0.97593,                0.77719,                0.57682,                 0.6589,                0.47616,                0.88517,                0.87766,                0.96007,             0.00021129,             9.7909e-05,             9.7909e-05
                      4,                0.89476,                0.89937,                0.96155,                0.70567,                0.64033,                0.68466,                0.50274,                0.86126,                0.80657,                0.94995,              9.703e-05,              9.703e-05,              9.703e-05
                      5,                0.85911,                0.85075,                0.95064,                0.75732,                0.64305,                0.69737,                0.51593,                0.84543,                0.78202,                0.93467,              9.703e-05,              9.703e-05,              9.703e-05
                      6,                 0.8436,                0.80288,                 0.9355,                0.76168,                0.65897,                0.71488,                0.53322,                0.83498,                0.74814,                0.93505,              9.604e-05,              9.604e-05,              9.604e-05
                      7,                0.82784,                0.77787,                0.93556,                0.74698,                0.69231,                0.72909,                0.54493,                0.82931,                0.72589,                0.92781,              9.505e-05,              9.505e-05,              9.505e-05
                      8,                0.82169,                0.75246,                0.93123,                0.77851,                0.70503,                0.74474,                0.56187,                0.80124,                0.70202,                0.91532,              9.406e-05,              9.406e-05,              9.406e-05
                      9,                0.80746,                0.72521,                0.92691,                0.77636,                0.71043,                0.75576,                0.56504,                0.80073,                0.71584,                0.91483,              9.307e-05,              9.307e-05,              9.307e-05
                     10,                0.79846,                0.71792,                0.92293,                0.80241,                0.70915,                 0.7608,                0.57836,                0.78926,                  0.682,                0.91595,              9.208e-05,              9.208e-05,              9.208e-05
                     11,                0.78886,                0.68186,                0.91421,                0.76209,                0.71919,                0.76583,                0.57216,                0.79283,                0.68613,                0.91383,              9.109e-05,              9.109e-05,              9.109e-05
                     12,                 0.7806,                0.68381,                0.91574,                0.80154,                0.71648,                0.77504,                0.59503,                0.78688,                0.68675,                0.91179,               9.01e-05,               9.01e-05,               9.01e-05
                     13,                0.76656,                0.65948,                 0.9117,                0.83791,                0.71804,                0.78993,                0.59757,                0.79345,                0.65707,                0.91847,              8.911e-05,              8.911e-05,              8.911e-05
                     14,                0.77278,                0.65949,                0.90919,                0.81326,                0.73508,                0.77156,                0.59077,                0.77315,                0.66513,                0.90318,              8.812e-05,              8.812e-05,              8.812e-05
                     15,                0.75929,                0.64732,                0.90766,                 0.8023,                 0.7247,                0.76921,                0.59177,                0.76434,                0.67322,                0.90106,              8.713e-05,              8.713e-05,              8.713e-05
                     16,                0.75836,                0.62844,                 0.9104,                0.85597,                0.71256,                0.79678,                0.60582,                0.77287,                0.64899,                0.90556,              8.614e-05,              8.614e-05,              8.614e-05
                     17,                0.75374,                0.61216,                0.90306,                0.86013,                0.70485,                0.78138,                 0.6026,                0.76216,                0.64655,                0.90356,              8.515e-05,              8.515e-05,              8.515e-05
                     18,                0.73732,                0.58825,                 0.9004,                 0.7999,                0.74493,                0.77716,                0.59969,                0.76794,                0.65032,                0.90694,              8.416e-05,              8.416e-05,              8.416e-05
                     19,                 0.7372,                0.59237,                0.89977,                0.82944,                 0.7492,                0.79151,                0.60948,                0.76969,                0.64425,                0.90337,              8.317e-05,              8.317e-05,              8.317e-05
                     20,                0.72207,                0.57575,                0.89668,                0.85772,                0.71613,                0.78688,                 0.6068,                0.75748,                0.63156,                0.90446,              8.218e-05,              8.218e-05,              8.218e-05
                     21,                0.73225,                0.58254,                0.89714,                0.82045,                 0.7247,                0.78495,                0.60172,                0.75465,                0.62405,                0.90696,              8.119e-05,              8.119e-05,              8.119e-05
                     22,                0.73054,                0.57368,                0.89762,                0.85746,                0.71469,                0.78657,                0.60935,                0.74629,                0.62617,                0.89757,               8.02e-05,               8.02e-05,               8.02e-05
                     23,                0.71177,                0.56472,                0.89312,                0.79966,                0.74458,                0.78635,                0.60932,                0.74894,                 0.6212,                0.89793,              7.921e-05,              7.921e-05,              7.921e-05
                     24,                 0.7255,                0.55813,                0.89833,                0.83369,                0.73138,                0.79293,                 0.6146,                0.74614,                0.62431,                0.89514,              7.822e-05,              7.822e-05,              7.822e-05
                     25,                0.71269,                0.54843,                0.89041,                0.84396,                0.74287,                0.79053,                0.60827,                0.75145,                0.62578,                0.89274,              7.723e-05,              7.723e-05,              7.723e-05
                     26,                0.71048,                0.54498,                0.88823,                0.84064,                0.75052,                0.79593,                0.61782,                0.74207,                0.60749,                0.89365,              7.624e-05,              7.624e-05,              7.624e-05
                     27,                0.70368,                0.52941,                0.88706,                0.82032,                0.75581,                0.80241,                0.61849,                0.74264,                0.61286,                0.89552,              7.525e-05,              7.525e-05,              7.525e-05
                     28,                0.70249,                0.53296,                0.89207,                0.87941,                0.73268,                 0.7941,                0.61016,                0.74288,                 0.6218,                0.89322,              7.426e-05,              7.426e-05,              7.426e-05
                     29,                0.68851,                 0.5178,                0.88609,                0.82921,                0.74937,                0.79381,                0.61543,                0.74045,                0.61469,                0.89466,              7.327e-05,              7.327e-05,              7.327e-05
                     30,                0.68564,                0.51148,                0.88764,                0.82523,                0.77196,                0.80271,                0.62135,                0.73944,                0.61667,                0.89512,              7.228e-05,              7.228e-05,              7.228e-05
                     31,                0.68951,                0.51206,                0.87985,                0.85413,                0.75337,                0.80199,                0.62458,                0.72969,                0.60444,                0.89179,              7.129e-05,              7.129e-05,              7.129e-05
                     32,                0.67518,                  0.501,                0.88386,                0.84643,                0.76567,                0.79302,                0.62115,                0.73349,                0.62474,                0.88925,               7.03e-05,               7.03e-05,               7.03e-05
                     33,                0.68692,                0.50078,                0.88435,                0.83716,                0.77184,                0.80825,                0.63275,                 0.7318,                0.59641,                0.89719,              6.931e-05,              6.931e-05,              6.931e-05
                     34,                0.67678,                0.49851,                0.88606,                0.84289,                0.76016,                 0.8044,                0.63252,                0.72761,                0.59476,                0.89058,              6.832e-05,              6.832e-05,              6.832e-05
                     35,                0.67606,                0.49446,                0.88009,                0.87812,                0.75192,                0.81133,                 0.6333,                0.72277,                0.60105,                0.88594,              6.733e-05,              6.733e-05,              6.733e-05
                     36,                0.67995,                 0.4819,                0.87948,                0.85259,                0.75936,                0.80493,                0.63083,                0.74167,                0.59608,                0.89349,              6.634e-05,              6.634e-05,              6.634e-05
                     37,                0.65575,                0.47523,                 0.8744,                 0.8515,                0.77075,                0.82224,                0.64103,                0.72162,                0.58518,                 0.8902,              6.535e-05,              6.535e-05,              6.535e-05
                     38,                0.66917,                0.48142,                0.88022,                0.86592,                0.75016,                0.81312,                0.63269,                0.72514,                0.59166,                0.88705,              6.436e-05,              6.436e-05,              6.436e-05
                     39,                0.65991,                0.47487,                0.87654,                0.83386,                0.78294,                0.81582,                0.64009,                0.72741,                0.59789,                0.89022,              6.337e-05,              6.337e-05,              6.337e-05
                     40,                 0.6489,                0.47126,                0.87203,                 0.8609,                0.76432,                0.81824,                 0.6483,                0.71312,                0.58161,                0.88433,              6.238e-05,              6.238e-05,              6.238e-05
                     41,                0.65173,                0.45334,                0.87271,                0.84695,                0.76423,                0.80071,                0.62901,                0.71749,                0.58348,                0.89028,              6.139e-05,              6.139e-05,              6.139e-05
                     42,                0.64626,                0.45274,                0.87349,                0.87964,                0.74954,                 0.8085,                0.63987,                0.71415,                0.59132,                0.88839,               6.04e-05,               6.04e-05,               6.04e-05
                     43,                0.63672,                0.44883,                0.86949,                0.82851,                0.76974,                0.80208,                0.63715,                0.72432,                0.59807,                0.88874,              5.941e-05,              5.941e-05,              5.941e-05
                     44,                0.63858,                0.44143,                0.87361,                0.87696,                0.77056,                0.82756,                0.65182,                0.71479,                0.57435,                0.88796,              5.842e-05,              5.842e-05,              5.842e-05
                     45,                0.63576,                0.43621,                0.87136,                0.86235,                0.75279,                0.81125,                0.64167,                0.70943,                0.58534,                0.88542,              5.743e-05,              5.743e-05,              5.743e-05
                     46,                0.63549,                0.43786,                0.86666,                0.86566,                0.76359,                0.82106,                0.64347,                0.71333,                0.56744,                0.89024,              5.644e-05,              5.644e-05,              5.644e-05
                     47,                0.62618,                0.43395,                0.86557,                0.86516,                0.76669,                0.81167,                0.63871,                0.71372,                0.58784,                0.88848,              5.545e-05,              5.545e-05,              5.545e-05
                     48,                0.63007,                0.43609,                0.87045,                 0.8602,                0.77703,                0.82107,                0.64468,                0.71272,                0.56697,                0.88864,              5.446e-05,              5.446e-05,              5.446e-05
                     49,                0.62871,                0.43007,                0.86455,                0.84716,                0.76206,                 0.8076,                 0.6361,                0.71764,                0.58128,                0.88877,              5.347e-05,              5.347e-05,              5.347e-05
